    0.000    0.000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00  1.000  0.000
  107.404    0.000   0.1000000E+00   0.2722209E-01   0.0000000E+00   0.1092145E+01  0.999  0.000
  124.890    0.000   0.2000000E+00   0.5490681E-01   0.0000000E+00   0.1881886E+01  0.996  0.000
  136.115    0.000   0.3000000E+00   0.8192723E-01   0.0000000E+00   0.2587102E+01  0.992  0.000
  144.485    0.000   0.4000000E+00   0.1082997E+00   0.0000000E+00   0.3243656E+01  0.986  0.000
  151.183    0.000   0.5000000E+00   0.1340675E+00   0.0000000E+00   0.3866979E+01  0.980  0.000
  156.766    0.000   0.6000000E+00   0.1592581E+00   0.0000000E+00   0.4465554E+01  0.973  0.000
  161.547    0.000   0.7000000E+00   0.1838841E+00   0.0000000E+00   0.5044702E+01  0.965  0.000
  165.716    0.000   0.8000000E+00   0.2079470E+00   0.0000000E+00   0.5608049E+01  0.956  0.000
  168.965    0.000   0.9000000E+00   0.2285451E+00   0.0000000E+00   0.6158307E+01  0.949  0.001
  168.965    0.000   0.1000000E+01   0.2285451E+00   0.0000000E+00   0.6703991E+01  0.949  0.011
  168.965    0.000   0.1100000E+01   0.2285451E+00   0.0000000E+00   0.7249676E+01  0.949  0.020
  168.965    0.000   0.1200000E+01   0.2285451E+00   0.0000000E+00   0.7795360E+01  0.949  0.029
  168.965    0.000   0.1300000E+01   0.2285451E+00   0.0000000E+00   0.8341045E+01  0.949  0.039
  168.965    0.000   0.1400000E+01   0.2285451E+00   0.0000000E+00   0.8886729E+01  0.949  0.048
  168.965    0.000   0.1500000E+01   0.2285451E+00   0.0000000E+00   0.9432414E+01  0.949  0.058
  168.965    0.000   0.1600000E+01   0.2285451E+00   0.0000000E+00   0.9978098E+01  0.949  0.067
  168.965    0.000   0.1700000E+01   0.2285451E+00   0.0000000E+00   0.1052378E+02  0.949  0.076
  168.965    0.000   0.1800000E+01   0.2285451E+00   0.0000000E+00   0.1106947E+02  0.949  0.086
  168.965    0.000   0.1900000E+01   0.2285451E+00   0.0000000E+00   0.1161515E+02  0.949  0.095
  168.965    0.000   0.2000000E+01   0.2285451E+00   0.0000000E+00   0.1216084E+02  0.949  0.105
  168.965    0.000   0.2100000E+01   0.2285451E+00   0.0000000E+00   0.1270652E+02  0.949  0.114
  168.965    0.000   0.2200000E+01   0.2285451E+00   0.0000000E+00   0.1325221E+02  0.949  0.123
  168.965    0.000   0.2300000E+01   0.2285451E+00   0.0000000E+00   0.1379789E+02  0.949  0.133
  168.965    0.000   0.2400000E+01   0.2285451E+00   0.0000000E+00   0.1434357E+02  0.949  0.142
  168.965    0.000   0.2500000E+01   0.2285451E+00   0.0000000E+00   0.1488926E+02  0.949  0.152
  168.965    0.000   0.2600000E+01   0.2285451E+00   0.0000000E+00   0.1543494E+02  0.949  0.161
  168.965    0.000   0.2700000E+01   0.2285451E+00   0.0000000E+00   0.1598063E+02  0.949  0.170
  168.965    0.000   0.2800000E+01   0.2285451E+00   0.0000000E+00   0.1652631E+02  0.949  0.180
  168.965    0.000   0.2900000E+01   0.2285451E+00   0.0000000E+00   0.1707200E+02  0.949  0.189
  168.965    0.000   0.3000000E+01   0.2285451E+00   0.0000000E+00   0.1761768E+02  0.949  0.199
